"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01001","Autauga County, Alabama","55380","*****"
"0500000US01003","Baldwin County, Alabama","212830","*****"
"0500000US01005","Barbour County, Alabama","25361","*****"
"0500000US01007","Bibb County, Alabama","22493","*****"
"0500000US01009","Blount County, Alabama","57681","*****"
"0500000US01011","Bullock County, Alabama","10248","*****"
"0500000US01013","Butler County, Alabama","19828","*****"
"0500000US01015","Calhoun County, Alabama","114618","*****"
"0500000US01017","Chambers County, Alabama","33660","*****"
"0500000US01019","Cherokee County, Alabama","25903","*****"
"0500000US01021","Chilton County, Alabama","44055","*****"
"0500000US01023","Choctaw County, Alabama","12925","*****"
"0500000US01025","Clarke County, Alabama","24128","*****"
"0500000US01027","Clay County, Alabama","13337","*****"
"0500000US01029","Cleburne County, Alabama","14916","*****"
"0500000US01031","Coffee County, Alabama","51662","*****"
"0500000US01033","Colbert County, Alabama","54771","*****"
"0500000US01035","Conecuh County, Alabama","12394","*****"
"0500000US01037","Coosa County, Alabama","10757","*****"
"0500000US01039","Covington County, Alabama","37200","*****"
"0500000US01041","Crenshaw County, Alabama","13844","*****"
"0500000US01043","Cullman County, Alabama","82853","*****"
"0500000US01045","Dale County, Alabama","49277","*****"
"0500000US01047","Dallas County, Alabama","39149","*****"
"0500000US01049","DeKalb County, Alabama","71310","*****"
"0500000US01051","Elmore County, Alabama","81144","*****"
"0500000US01053","Escambia County, Alabama","37057","*****"
"0500000US01055","Etowah County, Alabama","102748","*****"
"0500000US01057","Fayette County, Alabama","16494","*****"
"0500000US01059","Franklin County, Alabama","31466","*****"
"0500000US01061","Geneva County, Alabama","26417","*****"
"0500000US01063","Greene County, Alabama","8324","*****"
"0500000US01065","Hale County, Alabama","14809","*****"
"0500000US01067","Henry County, Alabama","17133","*****"
"0500000US01069","Houston County, Alabama","104702","*****"
"0500000US01071","Jackson County, Alabama","51852","*****"
"0500000US01073","Jefferson County, Alabama","659680","*****"
"0500000US01075","Lamar County, Alabama","13885","*****"
"0500000US01077","Lauderdale County, Alabama","92556","*****"
"0500000US01079","Lawrence County, Alabama","33058","*****"
"0500000US01081","Lee County, Alabama","161152","*****"
"0500000US01083","Limestone County, Alabama","94727","*****"
"0500000US01085","Lowndes County, Alabama","10079","*****"
"0500000US01087","Macon County, Alabama","18708","*****"
"0500000US01089","Madison County, Alabama","362276","*****"
"0500000US01091","Marengo County, Alabama","19321","*****"
"0500000US01093","Marion County, Alabama","29866","*****"
"0500000US01095","Marshall County, Alabama","95643","*****"
"0500000US01097","Mobile County, Alabama","414114","*****"
"0500000US01099","Monroe County, Alabama","21270","*****"
"0500000US01101","Montgomery County, Alabama","226941","*****"
"0500000US01103","Morgan County, Alabama","119213","*****"
"0500000US01105","Perry County, Alabama","9293","*****"
"0500000US01107","Pickens County, Alabama","20243","*****"
"0500000US01109","Pike County, Alabama","33333","*****"
"0500000US01111","Randolph County, Alabama","22647","*****"
"0500000US01113","Russell County, Alabama","57952","*****"
"0500000US01115","St. Clair County, Alabama","87989","*****"
"0500000US01117","Shelby County, Alabama","213432","*****"
"0500000US01119","Sumter County, Alabama","12797","*****"
"0500000US01121","Talladega County, Alabama","80387","*****"
"0500000US01123","Tallapoosa County, Alabama","40541","*****"
"0500000US01125","Tuscaloosa County, Alabama","207305","*****"
"0500000US01127","Walker County, Alabama","64110","*****"
"0500000US01129","Washington County, Alabama","16541","*****"
"0500000US01131","Wilcox County, Alabama","10681","*****"
"0500000US01133","Winston County, Alabama","23784","*****"
"0500000US02013","Aleutians East Borough, Alaska","3385","*****"
"0500000US02016","Aleutians West Census Area, Alaska","5698","*****"
"0500000US02020","Anchorage Municipality, Alaska","293531","*****"
"0500000US02050","Bethel Census Area, Alaska","18134","*****"
"0500000US02060","Bristol Bay Borough, Alaska","875","80"
"0500000US02068","Denali Borough, Alaska","2246","367"
"0500000US02070","Dillingham Census Area, Alaska","4961","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","99072","*****"
"0500000US02100","Haines Borough, Alaska","2518","*****"
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2139","*****"
"0500000US02110","Juneau City and Borough, Alaska","32227","*****"
"0500000US02122","Kenai Peninsula Borough, Alaska","58464","*****"
"0500000US02130","Ketchikan Gateway Borough, Alaska","13800","*****"
"0500000US02150","Kodiak Island Borough, Alaska","13451","*****"
"0500000US02158","Kusilvak Census Area, Alaska","8250","*****"
"0500000US02164","Lake and Peninsula Borough, Alaska","1393","367"
"0500000US02170","Matanuska-Susitna Borough, Alaska","105369","*****"
"0500000US02180","Nome Census Area, Alaska","9988","*****"
"0500000US02185","North Slope Borough, Alaska","9792","*****"
"0500000US02188","Northwest Arctic Borough, Alaska","7715","*****"
"0500000US02195","Petersburg Borough, Alaska","3257","*****"
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","6407","*****"
"0500000US02220","Sitka City and Borough, Alaska","8640","*****"
"0500000US02230","Skagway Municipality, Alaska","1107","102"
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6878","*****"
"0500000US02261","Valdez-Cordova Census Area, Alaska","9243","*****"
"0500000US02275","Wrangell City and Borough, Alaska","2502","*****"
"0500000US02282","Yakutat City and Borough, Alaska","649","89"
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5377","*****"
"0500000US04001","Apache County, Arizona","71511","*****"
"0500000US04003","Cochise County, Arizona","125867","*****"
"0500000US04005","Coconino County, Arizona","141274","*****"
"0500000US04007","Gila County, Arizona","53546","*****"
"0500000US04009","Graham County, Arizona","37996","*****"
"0500000US04011","Greenlee County, Arizona","9522","*****"
"0500000US04012","La Paz County, Arizona","20793","*****"
"0500000US04013","Maricopa County, Arizona","4328810","*****"
"0500000US04015","Mohave County, Arizona","207695","*****"
"0500000US04017","Navajo County, Arizona","109270","*****"
"0500000US04019","Pima County, Arizona","1027207","*****"
"0500000US04021","Pinal County, Arizona","432793","*****"
"0500000US04023","Santa Cruz County, Arizona","46480","*****"
"0500000US04025","Yavapai County, Arizona","228067","*****"
"0500000US04027","Yuma County, Arizona","209468","*****"
"0500000US05001","Arkansas County, Arkansas","17914","*****"
"0500000US05003","Ashley County, Arkansas","20270","*****"
"0500000US05005","Baxter County, Arkansas","41427","*****"
"0500000US05007","Benton County, Arkansas","265759","*****"
"0500000US05009","Boone County, Arkansas","37331","*****"
