,Provider ID,Hospital Name,State,Emergency Services,Use of EHRs,Mortality,Safety of care,Readmission,Patient experience,Effectiveness of care,Timeliness of care,Medical imaging use,Hospital overall rating
0,10005,MARSHALL MEDICAL CENTER SOUTH,AL,True,True,1,0,-1,0,0,1,-1,3.0
1,10012,DEKALB REGIONAL MEDICAL CENTER,AL,True,True,1,0,0,0,0,1,0,3.0
2,10032,WEDOWEE HOSPITAL,AL,True,True,0,,0,,0,0,,4.0
3,10095,HALE COUNTY HOSPITAL,AL,True,True,,,,,-1,0,,
4,10131,CRESTWOOD MEDICAL CENTER,AL,True,True,1,1,0,0,0,0,0,3.0
5,11304,CHOCTAW GENERAL HOSPITAL,AL,True,True,,,,,,0,,
6,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,True,True,0,,0,-1,,,,3.0
7,21308,NORTON SOUND REGIONAL HOSPITAL,AK,True,True,,,,,,,,
8,21309,KANAKANAK HOSPITAL,AK,True,True,,,,,,,,
9,21310,MANIILAQ HEALTH CENTER,AK,True,True,,,,,,,,
10,30071,FORT DEFIANCE INDIAN HOSPITAL,AZ,True,True,,,0,,0,,,
11,30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,False,True,,0,0,-1,0,,,3.0
12,30074,SELLS HOSPITAL,AZ,True,True,,,,,,,,
13,30077,SAN CARLOS APACHE HEALTHCARE,AZ,False,True,,,,,,,,
14,30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,True,True,,,0,0,-1,,,3.0
15,31305,HOPI HEALTH CARE CENTER,AZ,False,True,,,,,,,,
16,31308,HUHU KAM MEMORIAL HOSPITAL,AZ,True,True,,,,,,,,
17,31309,SAGE MEMORIAL HOSPITAL,AZ,False,,,,,,,0,,
18,40007,CHI-ST VINCENT INFIRMARY,AR,True,True,1,-1,1,-1,0,0,0,2.0
19,40018,SPARKS MEDICAL CENTER - VAN BUREN,AR,True,True,0,,0,0,0,1,,3.0
20,40050,OUACHITA COUNTY MEDICAL CENTER,AR,True,True,0,0,-1,1,0,0,0,4.0
21,40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,AR,True,,,,,,,,,
22,41324,CHI ST VINCENT MORRILTON,AR,True,True,0,,0,,,,,
23,41328,CHICOT MEMORIAL MEDICAL CENTER,AR,True,True,0,,0,1,0,0,-1,3.0
24,50054,SAN GORGONIO MEMORIAL HOSPITAL,CA,True,True,0,0,0,-1,0,-1,,2.0
25,50103,WHITE MEMORIAL MEDICAL CENTER,CA,True,True,-1,-1,0,-1,0,-1,0,3.0
26,50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,CA,True,True,,-1,0,-1,0,,,3.0
27,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,CA,True,True,0,0,-1,1,0,0,1,5.0
28,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,True,True,-1,1,0,1,0,0,-1,4.0
29,50280,MERCY MEDICAL CENTER REDDING,CA,True,True,1,1,-1,-1,0,-1,1,3.0
30,50309,SUTTER ROSEVILLE MEDICAL CENTER,CA,True,True,0,0,-1,0,0,-1,1,4.0
31,50488,EDEN MEDICAL CENTER,CA,True,True,0,0,0,0,0,-1,0,3.0
32,50547,SONOMA DEVELOPMENTAL CENTER,CA,False,,,,,,,,,
